,Unnamed: 0,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6","Starts by intended market, 1 total",Newly completed and unabsorbed homes2,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5,Consumer Price Index (%  change)4,Owned accommodation costs (%  change)4,Labour force participation rate (% )3,Employment (%  change)4,Unemployment rate (% )3,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Teranet - National Bank House Price Index (% change)7, One-bedroom, Two-bedroom,3+ bedroom,Vacancy Rate (Standard Spaces) in Seniors' Rental 9,"New Housing Price Index (% change)4,8","Teranet - National Bank House Price Index (% change)7,8","Consumer Price Index (% change)4,8","Owned accommodation costs (% change)4,8","Rental accommodation costs (% change)4,8","New Housing Price Index (% change)4,7","Consumer Price Index (% change)4,7","Owned accommodation costs (% change)4,7","Rental accommodation costs (% change)4,7"
221,2009,3116,1056,2060,728,241,1091,3116,2033,386,640,57,3553,2585,315.726,411,173,238,2.2,2.7,,,,,,,511,,,,307.135,71.25,-1.7588183849966,5.90972545369939,3099,,,,,,,,,,,,,,,,,,,,,,,,590,690,791,17.2,1.49474072707141,6.17389813068083,0,0,0,,,,
222,2010,2687,910,1777,750,219,808,2687,1877,339,435,36,2755,3162,387.725,302,170,132,2.5,3.1,,,,,,,518,,,,312.864,71.5999999999999,1.75568743818002,6.68934240362811,2541,,,,,,,,,,,,,,,,,,,,,,,,606,711,808,21.3,3.98181818181817,5.85527378452592,0,0,0,,,,
223,2011,2420,784,1636,390,269,977,2420,1459,274,557,130,2402,3092,384.422,358,153,205,2.2,2.8,,,,,,,526,,,,318.392,70.7416666666666,-0.0972053462940572,7.35565871906972,2927,,,,,,,,,,,,,,,,,,,,,,,,616,731,825,19.3,2.97254764819025,4.55481803616388,0,0,0,,,,
224,2012,2759,688,2071,462,186,1423,2759,1421,721,617,0,2585,2958,416.309,458,190,268,3.3,4.3,,,,,,,528,,,,322.048,69.7583333333333,0.982729262953055,6.32277281343081,1643,,,,,,,,,,,,,,,,,,,,,,,,628,743,834,17.7,2.59806418746814,2.5758902510216,0,0,0,,,,
225,2013,1924,475,1449,206,205,1038,1924,883,549,492,0,1914,1959,284.344,435,161,274,5.1,6,,,,,,,550,,,,324.578,68.2,-1.10324227971286,6.27767885677761,825,,,,,,,,,,,,,,,,,,,,,,,,617,744,831,12.2,0.36411784177425,1.00305897417656,0,0,0,,,,
226,2014,1903,479,1424,282,188,954,1903,950,338,615,0,2205,2153,315.699,486,133,353,6.5,7,,,,,,,554,,,,326.886,68.9166666666666,1.30553390491037,6.95718312379759,674,,,,,,,,,,,,,,,,,,,,,,,,630,750,836,9.4,-1.14610817941952,0.133821665023248,0,0,0,,,,
227,2015,1584,422,1162,330,106,726,1584,853,445,286,0,1745,1767,271.733,397,142,255,5.9,7.3,,,,,,,574,,,,328.784,70.7833333333333,3.20253894979802,7.23547717842323,490,,,,,,,,,,,,,,,,,,,,,,,,656,751,850,8.1,-0.967553590791552,-2.09608215516634,0,0,0,,,,
228,2016,1819,375,1444,218,113,1113,1819,712,616,491,0,1519,2073,278.223,320,141,179,6.3,7,,,,,,,577,,,,332.394,68.9083333333333,-1.80318702823594,6.97417788567645,1926,,,,,,,,,,,,,,,,,,,,,,,,653,762,859,6.6,0.286364019203225,3.59939650836984,0,0,0,,,,
229,category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,,,,,,,averagerent,,,,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,,,,,,,,,,,,,,,,,,,,,,,,averagerent,averagerent,averagerent,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,housingcosts,,,,
230,state,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,,,,,,,gatineau,,,,gatineau,gatineau,gatineau,gatineau,gatineau,,,,,,,,,,,,,,,,,,,,,,,,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,gatineau,,,,
231,1990,1468,819,649,73,117,459,1468,886,542,0,40,1684,1353,123.072,0,0,0,0.7,0,,,,,,,339,399,489,547,159.864,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,5.58364938895912,0,0,0
232,1991,1758,523,1235,53,324,858,1758,600,968,30,160,1108,2416,178.07,0,0,0,0.7,0,,,,,,,336,440,550,605,162.688,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.359209738575148,0,0,0
233,1992,1289,563,726,108,164,454,1289,671,363,32,223,1819,998,87.739,69,49,20,2.5,0,,,,,,,379,475,594,636,165.208,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-0.447405050705909,0,0,0
234,1993,715,436,279,106,24,149,715,512,146,27,30,981,677,63.888,36,36,0,3.8,0,,,,,,,402,485,610,658,165.872,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1.93748127434335,0,0,0
235,1994,712,448,264,93,70,101,712,537,49,0,126,853,689,64.168,69,69,0,4.3,0,,,,,,,398,491,610,660,165.587,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1.36181052219064,0,0,0
236,1995,336,257,79,74,0,5,336,285,5,0,46,384,338,34.373,53,40,13,6,0,,,,,,,387,489,621,686,165.204,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.270635994587288,0,0,0
237,1996,346,300,46,32,0,14,346,332,14,0,0,270,375,41.006,13,13,0,6.8,0,,,,,,,394,495,624,700,170.078,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-0.231347599768652,0,0,0
238,1997,281,242,39,18,0,21,281,254,27,0,0,323,284,33.11,20,20,0,7.2,0,,,,,,,388,506,619,685,168.582,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-0.560386473429954,0,0,0
239,1998,165,161,4,4,0,0,165,165,0,0,0,217,183,21.29,19,19,0,9.4,0,,,,,,,387,499,623,686,166.461,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-2.26389428682471,0,0,0
240,1999,199,131,68,0,0,68,199,131,68,0,0,135,226,23.247,14,14,0,11.1,0,,,,,,,380,491,612,673,163.614,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-1.0239586440004,0,0,0
241,2000,173,169,4,4,0,0,173,173,0,0,0,224,159,23.443,11,11,0,7.7,0,,,,,,,375,502,619,684,162.091,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-1.2856568903174,0,0,0
242,2001,191,191,0,0,0,0,191,191,0,0,0,180,208,27.114,15,15,0,5.7,0,,,,,,,387,500,620,693,161.493,61.2,0,8.8,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,-0.925925925925918,0,0,0
243,2002,298,292,6,2,0,4,298,298,0,0,0,264,311,42.38,10,10,0,5.1,0,,,,,,,387,513,647,719,161.197,63.2,3.02613480055021,9.19999999999999,-526,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.985929957892575,0,0,0
244,2003,306,296,10,10,0,0,306,306,0,0,0,305,327,43.65,6,6,0,3.6,0,,,,,,,388,524,651,728,161.706,62.1,-0.267022696929242,8.6,309,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.90511542764161,0,0,0
245,2004,388,374,14,10,4,0,388,384,4,0,0,344,355,47.218,8,8,0,2.6,4.4,,,,,,,393,529,655,734,162.221,64.8,5.35475234270415,8.3,195,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1.96532957065109,0,0,0
246,2005,400,384,16,12,4,0,400,400,0,0,0,388,430,59.292,10,10,0,1.6,3.8,,,,,,,410,544,668,758,162.998,62.6,-2.03303684879289,7.8,407,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1.71987743402193,0,0,0
247,2006,477,448,29,18,11,0,477,466,11,0,0,449,491,78.762,21,21,0,1.2,2.2,,,,,,,419,571,706,779,164.214,63.2,2.59403372243839,7.3,1001,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1.70051501311825,0,0,0
248,2007,587,514,73,28,37,8,587,540,14,33,0,494,625,117.378,22,22,0,0.6,1.3,,,,,,,454,609,749,824,164.808,64.3,4.29835651074589,5.7,351,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4.2900821708389,0,0,0
249,2008,543,469,74,32,19,23,543,512,31,0,0,566,582,110.146,29,20,9,0.7,1.6,,,,,,,485,651,800,917,165.515,63.9,0,5.7,427,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,5.48786074209803,0,0,0
250,2009,450,224,226,8,74,144,450,232,191,27,0,394,1069,160.365,14,11,3,2.9,3.3,,,,,,,508,678,830,915,165.684,64,-3.27272727272727,9.3,-248,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,0.634010769498002,0,0,0
251,2010,575,369,206,4,25,177,575,373,187,15,0,427,445,81.256,9,8,1,3,4,,,,,,,510,688,840,923,165.2,64.5999999999999,1.12781954887218,9.3,-970,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,-0.466039527056189,0,0,0
252,2011,595,321,274,40,54,180,595,361,197,28,9,593,658,128.356,13,10,3,2.8,3,,,,,,,540,712,881,994,165.253,63.9,1.7348203221809,7,61,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,0.0693661666522308,0,0,0
253,2012,536,294,242,48,29,165,536,342,147,47,0,514,488,86.675,12,10,2,2.7,3.9,,,,,,,575,737,915,1027,165.715,62.7,-1.58343483556637,7.2,229,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,1.29104930248677,0,0,0
254,2013,431,208,223,28,7,188,431,240,191,0,0,410,464,87.6889999999999,19,4,15,3.4,4.7,,,,,,,579,741,914,1021,166.033,64.4,3.09405940594059,7,162,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,0.898203592814374,0,0,0
255,2014,271,172,99,36,40,23,271,211,60,0,0,390,379,69.275,5,5,0,4.2,5.3,,,,,,,577,744,927,1059,165.808,63.6,-0.240096038415369,6.4,-352,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,0.449342941924551,0,0,0
256,2015,247,152,95,30,42,23,247,188,27,32,0,227,298,58.721,21,14,7,3.5,4.1,,,,,,,610,771,953,1114,165.527,63.5,-0.962695547533089,7.3,-371,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,0.261647535449014,0,0,0
257,2016,289,158,131,16,45,70,289,170,105,14,0,359,353,67.456,31,24,7,5.3,6.3,,,,,,,600,776,990,1111,165.536,63.4,-0.729040097205339,8.1,-48,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,0.345146897887023,0,0,0
258,category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,,,,,,,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,,,,,,,,,,,,,,,,,,,,,,availablesupply,,,,,,,,,,,housingcosts,housingcosts,housingcosts,housingcosts
259,state,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,,,,,,,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,greater sudbury,,,,,,,,,,,,,,,,,,,,,,greater sudbury,,,,,,,,,,,greater sudbury,greater sudbury,greater sudbury,greater sudbury
260,1990,645,304,341,38,152,151,645,346,132,84,83,624,0,0,0,0,0,1.1,0,0,,0,0,0,0,387,486,561,606,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,1991,762,328,434,38,172,224,762,366,197,155,44,577,0,0,0,0,0,0.6,0,0,,0,0,0,0,500,489,579,647,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,1992,922,339,583,2,442,139,922,344,406,172,0,1002,0,0,18,16,2,2.5,0,0,,0,0,0,0,466,533,618,675,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1993,502,265,237,6,228,3,502,271,165,66,0,642,0,0,108,32,76,2.6,0,0,,0,0,0,0,445,536,626,680,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,1994,503,389,114,0,0,114,503,389,114,0,0,656,0,0,100,25,75,1.6,0,0,,0,0,0,0,464,557,642,688,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1995,399,277,122,2,46,74,399,289,74,36,0,368,0,0,134,43,91,1.3,0,0,,0,0,0,0,527,566,642,689,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1996,821,644,177,42,73,62,821,756,62,3,0,741,0,0,58,50,8,2.7,0,0,,0,0,0,0,462,576,658,698,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,1997,988,703,285,6,251,28,988,832,46,110,0,952,0,0,118,43,75,1.9,0,0,,0,0,0,0,451,584,678,704,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1998,966,734,232,26,206,0,966,884,0,82,0,968,0,0,52,29,23,1.6,0,0,,0,0,0,0,456,593,686,744,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,1999,1003,772,231,24,207,0,1003,981,6,16,0,992,0,0,7,4,3,0.5,0,0,,0,0,0,0,473,608,702,777,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2000,1297,835,462,86,258,118,1297,1179,118,0,0,1183,0,0,28,15,13,0.7,0,0,,0,0,0,0,485,647,736,824,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2001,993,567,426,110,316,0,993,945,48,0,0,1030,0,0,48,19,29,1,0,0,,0,0,0,0,528,668,764,917,129.198,73.2,0,4.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2002,1138,728,410,150,260,0,1138,1095,24,19,0,1191,0,0,35,16,19,2.7,0,0,,0,0,0,0,566,707,801,918,131.207,72.9,2.24403927068724,4.5,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2003,994,641,353,46,159,148,994,815,144,35,0,1057,0,0,28,13,15,3.9,0,0,,0,0,0,0,602,706,823,927,133.154,73.9,3.29218106995883,4.6,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2004,1420,866,554,50,242,262,1420,1077,142,201,0,1178,0,0,33,17,16,3.3,0,0,,0,0,0,0,628,727,829,920,135.337,74.9,3.32005312084993,4.7,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2005,951,566,385,70,282,33,951,753,41,157,0,1084,0,0,54,18,36,3.6,4.9,0,,0,0,0,0,619,734,830,1043,137.658,73.7,0.514138817480727,4.6,1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2006,864,485,379,80,205,94,864,758,44,62,0,916,922,125.546,62,23,39,2.8,4.3,0,,0,0,0,0,578,744,839,1143,139.329,73.9,0.89514066496164,5.5,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2007,941,575,366,58,274,34,941,881,0,60,0,935,1078,147.908,54,15,39,1.9,3.4,0,,0,0,0,0,588,743,848,1015,140.035,72.8,-0.760456273764269,5.7,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2008,1087,425,662,44,160,458,1087,592,117,378,0,769,963,125.834,52,33,19,2.3,4.5,0,,0,0,0,0,616,766,869,1021,141.399,74.4,3.57598978288633,5.6,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2009,567,299,268,74,124,70,567,472,0,95,0,798,831,123.397,45,20,25,4.1,6.6,5.6,,0,0,0,0,648,770,874,1044,142.587,73.9,-2.46609124537607,8.19999999999999,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2010,1021,406,615,34,391,190,1021,557,2,462,0,845,1019,165.717,23,8,15,3.4,6,10.9,,0,0,0,0,611,782,887,1022,144.204,72.7,0.126422250316066,8,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2011,764,260,504,50,197,257,764,353,92,319,0,758,648,111.741,31,9,22,1.1,2.1,10.9,,0,0,0,0,620,797,903,1036,145.637,72.4,3.53535353535353,5.6,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2012,731,275,456,44,210,202,731,383,6,342,0,604,839,130.599,25,11,14,1.4,2.7,7,,0,0,0,0,649,829,941,1078,148.198,72.5,2.31707317073171,5.3,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2013,890,198,692,82,179,431,890,277,29,584,0,683,1176,178.383,28,10,18,1.9,3.3,7,,0,0,0,0,655,842,957,1099,149.794,68.4,-4.88676996424315,6.6,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2014,1064,204,860,54,161,645,1064,379,209,476,0,691,1124,191.099,32,22,10,1.2,2.4,9.4,,0,0,0,0,674,868,988,1146,151.627,68.7,2.5062656641604,6.2,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2015,1141,343,798,24,354,420,1141,576,192,373,0,1129,1479,295.273,27,17,10,1.2,2.4,8.9,,0,0,0,0,706,898,1027,1160,153.531,73.2,10.6356968215159,4,1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2016,1061,249,812,36,259,517,1061,410,226,425,0,916,1281,222.761,20,13,7,1,2,11.4,,0,0,0,0,735,952,1078,1172,156.029,73,0.110497237569054,4.8,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,state,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,guelph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1990,2647,1128,1519,192,99,1228,2647,1322,981,12,332,2902,2897,166.559,0,0,0,3.5,0,,0,0.284303456531486,5.07512520868114,5.01050420168068,3.22612864562524,414,,,,321.93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,478,569,687,,,,,,,,,,
290,1991,2938,798,2140,132,34,1974,2938,996,1572,0,370,2645,2965,144.512,0,0,0,4.8,0,,0,-0.238734706057886,5.84683825865903,4.48134440332099,2.92210933720367,431,,,,326.577,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.08330328164443,501,594,731,,,,,,,,,,
291,1992,2420,1266,1154,266,45,843,2420,1531,657,0,232,2776,2588,159.449,120,48,72,5.7,0,,0,1.13670355967693,0.870609426598629,-0.593585447582574,2.0118454451443,432,,,,329.622,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,1.95906944201504,497,595,722,,,,,,,,,,
292,1993,2127,1267,860,306,65,489,2127,1605,490,0,32,2126,2419,160.372,134,76,58,6.3,0,,0,2.98728186926945,0.962301587301573,-0.587498796109032,1.29020366786471,432,,,,332.321,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,2.72774060730829,503,604,754,,,,,,,,,,
293,1994,2460,1412,1048,338,83,627,2460,1802,524,0,134,2520,2484,179.672,213,146,67,7.2,0,,0,2.78575531303848,1.10052078215583,-0.377833753148618,1.14639250295696,443,,,,335.488,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-0.200400801603217,504,610,745,,,,,,,,,,
294,1995,2080,1173,907,262,72,573,2080,1507,546,24,3,2253,2180,164.991,254,179,75,7.7,0,,0,2.96172115115953,1.26348527553699,2.275600505689,0.602680579292978,444,,,,337.899,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-1.18808567603748,506,615,800,,,,,,,,,,
295,1996,2022,1578,444,232,40,172,2022,1834,188,0,0,2229,2437,184.425,194,142,52,8.69999999999999,0,,0,0.719131614654013,1.67002591419521,0.199676713891791,0.706366237482115,439,,,,351.74,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,2.76037256562236,505,617,761,,,,,,,,,,
296,1997,2065,1385,680,200,58,422,2065,1639,398,0,28,1849,2098,160.121,255,192,63,7.7,0,,0,-2.31712245722755,1.92580005664118,-0.521920668058449,0.710290331172872,444,,,,355.526,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,2.45550428477259,506,616,751,,,,,,,,,,
297,1998,1739,1125,614,111,66,437,1739,1283,367,89,0,1816,1930,149.358,162,126,36,5.5,0,,0,0.758516066749422,0.750208391219774,1.15424973767052,0.423168473948681,454,,,,359.081,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,3.79604310760817,511,631,790,,,,,,,,,,
298,1999,2356,1669,687,122,20,545,2356,1817,539,0,0,2257,2740,225.345,89,82,7,3.6,0,,0,3.24390911579524,1.70987313844457,2.03696718219539,0.500395048722684,469,,,,362.942,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,4.81946381527971,523,637,790,,,,,,,,,,
299,2000,2661,1373,1288,108,17,1163,2661,1495,794,371,1,2300,2880,256.901,103,95,8,3.6,0,,0,3.24804454461087,3.15437454808386,4.63955637707947,1.08315863032844,491,,,,365.947,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,4.42046126552335,539,648,797,,,,,,,,,,
300,2001,2340,1296,1044,96,12,936,2340,1404,680,256,0,2263,2149,226.642,104,59,45,2.8,0,,0,2.79917822290705,1.9889599579427,4.14237767178943,1.79744210162461,508,,,,369.265,69.7,0,7.1,0,,,,,,,,,,,,,,,,,,,,,,0,6.34291377601585,554,673,869,,,,,,,,,,
301,2002,3310,1865,1445,184,126,1135,3310,2147,785,378,0,2588,3160,363.335,150,58,92,2.7,0,,0,3.62228328753435,3.10137457044674,1.77253837672802,1.85908319185058,524,,,,374.41,69.2,0.527148128624143,7.7,3198,,,,,,,,,,,,,,,,,,,,,,0,9.34629210491277,572,704,937,,,,,,,,,,
302,2003,3066,1483,1583,227,184,1172,3066,1814,713,530,9,3127,3125,370.202,137,69,68,2.3,0,,0,4.0983606557377,3.20806599450044,2.84999999999999,1.5417951495958,537,,,,378.005,69.4,2.83167278447824,6.6,1691,,,,,,,,,,,,,,,,,,,,,,0,6.9523925483989,596,720,955,,,,,,,,,,
303,2004,2627,1510,1117,142,166,809,2627,1804,422,401,0,2888,3151,392.842,104,33,71,2.9,3.9,,0,2.08429828624363,1.74390440820281,2.10662777507697,1.01772816808929,560,,,,380.623,70.3,3.161652218256,6,724,,,,,,,,,,,,,,,,,,,,,,0,9.07331511839708,612,747,1014,,,,,,,,,,
304,2005,2451,1216,1235,146,169,920,2451,1530,462,459,0,2241,2664,351.49,37,35,2,3.3,4.1,,0,2.8130671506352,2.43612125059514,1.65846691001427,0.85310367240819,552,,,,381.795,69.4,-0.148294611962437,5.7,-494,,,,,,,,,,,,,,,,,,,,,,0,4.07055630936226,626,762,946,,,,,,,,,,
305,2006,2511,1056,1455,154,154,1147,2511,1338,892,281,0,2091,3316,424.121,186,62,124,3.2,3.8,,0,4.33583406884378,2.05283135796732,3.02084146436656,0.604205268669942,575,,,,384.585,69,1.43564356435643,5,623,,,,,,,,,,,,,,,,,,,,,,0,8.97603048841642,648,799,1029,,,,,,,,,,
306,2007,2489,1207,1282,166,147,969,2489,1456,699,334,0,2149,2841,394.309,204,51,153,3.1,3.6,,0,5.77350111028867,2.04190071352663,4.32641309289285,0.672645739910316,577,,,,386.498,70,2.14738897022938,5.3,2275,,,,,,,,,,,,,,,,,,,,,,0,4.19657647708449,659,815,1065,,,,,,,,,,
307,2008,2096,1180,916,108,169,639,2096,1436,503,157,0,2593,1923,334.281,177,34,143,3.4,3.9,,0,7.94761571528541,2.80443353418135,5.22187522695911,1.16926503340758,599,,,,390.005,69.5,0.430004777830853,5.2,3527,,,,,,,,,,,,,,,,,,,,,,0,4.23953365129834,683,833,1064,,,,,,,,,,
308,2009,1733,875,858,118,141,599,1733,1118,520,95,0,2071,2199,341.087,97,36,61,2.9,3.2,,0,1.12057788479348,0.101302460202613,1.73246824958586,1.39161883795895,638,,,,393.692,71,2.09324452901998,6.5,3824,,,,,,,,,,,,,,,,,,,,,,0,4.69411964073887,710,877,1091,,,,,,,,,,
309,2010,2390,1039,1351,156,152,1043,2390,1345,947,98,0,2044,2803,445.32,139,57,82,2.6,3.3,,0,0.90667643557102,2.0095417088333,0.495284619037927,1.33374689826303,632,,,,398.259,70.7,0.885368126747439,6.5,4655,,,,,,,,,,,,,,,,,,,,,,4.3,5.51149239235999,732,891,1146,,,,,,,,,,
310,2011,2954,900,2054,170,160,1724,2954,1210,1575,169,0,1910,3054,464.299,65,55,10,2.4,3.1,,0,1.7062987838083,3.49348072562358,1.32325141776937,1.27793082338536,670,,,,402.433,70.4,1.24711316397228,6.1,4755,,,,,,,,,,,,,,,,,,,,,,4.3,1.61847050701846,753,925,1182,,,,,,,,,,
311,2012,2754,991,1763,190,136,1437,2754,1290,1283,181,0,2156,3001,480.639,102,83,19,3,3.9,,0,2.16848117080135,1.73913043478261,1.33262260127932,1.32225160559123,690,,,,406.78,70.3,1.14051094890511,6.2,2832,,,,,,,,,,,,,,,,,,,,,,3.2,5.58574879227054,773,954,1191,,,,,,,,,,
