,REF_DATE,GEO,Population estimate
2264,Apr-94,Manitoba,1120863
2265,Apr-94,Saskatchewan,1008540
2266,Apr-94,Alberta,2691443
2267,Apr-94,British Columbia,3646632
2268,Apr-94,Yukon,29682
2269,Apr-94,Northwest Territories,40383
2270,Apr-94,Nunavut,24205
2271,Jul-94,Canada,29000663
2272,Jul-94,Newfoundland and Labrador,574466
2273,Jul-94,Prince Edward Island,133437
2274,Jul-94,Nova Scotia,926871
2275,Jul-94,New Brunswick,750185
2276,Jul-94,Quebec,7192403
2277,Jul-94,Ontario,10819146
2278,Jul-94,Manitoba,1123230
2279,Jul-94,Saskatchewan,1009575
2280,Jul-94,Alberta,2700606
2281,Jul-94,British Columbia,3676075
2282,Jul-94,Yukon,29684
2283,Jul-94,Northwest Territories,40578
2284,Jul-94,Nunavut,24407
2285,Oct-94,Canada,29096372
2286,Oct-94,Newfoundland and Labrador,572068
2287,Oct-94,Prince Edward Island,133800
2288,Oct-94,Nova Scotia,927778
2289,Oct-94,New Brunswick,750670
2290,Oct-94,Quebec,7201106
2291,Oct-94,Ontario,10860406
2292,Oct-94,Manitoba,1124263
2293,Oct-94,Saskatchewan,1010784
2294,Oct-94,Alberta,2709011
2295,Oct-94,British Columbia,3711468
2296,Oct-94,Yukon,29606
2297,Oct-94,Northwest Territories,40875
2298,Oct-94,Nunavut,24537
2299,Jan-95,Canada,29141902
2300,Jan-95,Newfoundland and Labrador,570563
2301,Jan-95,Prince Edward Island,134060
2302,Jan-95,Nova Scotia,927395
2303,Jan-95,New Brunswick,750819
2304,Jan-95,Quebec,7205074
2305,Jan-95,Ontario,10875308
2306,Jan-95,Manitoba,1124947
2307,Jan-95,Saskatchewan,1011784
2308,Jan-95,Alberta,2715701
2309,Jan-95,British Columbia,3730564
2310,Jan-95,Yukon,29882
2311,Jan-95,Northwest Territories,41114
2312,Jan-95,Nunavut,24691
2313,Apr-95,Canada,29211541
2314,Apr-95,Newfoundland and Labrador,569068
2315,Apr-95,Prince Edward Island,134175
2316,Apr-95,Nova Scotia,927641
2317,Apr-95,New Brunswick,750692
2318,Apr-95,Quebec,7210305
2319,Apr-95,Ontario,10906895
2320,Apr-95,Manitoba,1127234
2321,Apr-95,Saskatchewan,1012795
2322,Apr-95,Alberta,2724946
2323,Apr-95,British Columbia,3751377
2324,Apr-95,Yukon,30143
2325,Apr-95,Northwest Territories,41407
2326,Apr-95,Nunavut,24863
2327,Jul-95,Canada,29302311
2328,Jul-95,Newfoundland and Labrador,567397
2329,Jul-95,Prince Edward Island,134415
2330,Jul-95,Nova Scotia,928120
2331,Jul-95,New Brunswick,750943
2332,Jul-95,Quebec,7219219
2333,Jul-95,Ontario,10950119
2334,Jul-95,Manitoba,1129150
2335,Jul-95,Saskatchewan,1014187
2336,Jul-95,Alberta,2734519
2337,Jul-95,British Columbia,3777390
2338,Jul-95,Yukon,30442
2339,Jul-95,Northwest Territories,41432
2340,Jul-95,Nunavut,24978
2341,Oct-95,Canada,29396274
2342,Oct-95,Newfoundland and Labrador,565008
2343,Oct-95,Prince Edward Island,134971
2344,Oct-95,Nova Scotia,930028
2345,Oct-95,New Brunswick,751174
2346,Oct-95,Quebec,7228600
2347,Oct-95,Ontario,10993416
2348,Oct-95,Manitoba,1129547
2349,Oct-95,Saskatchewan,1015349
2350,Oct-95,Alberta,2745255
2351,Oct-95,British Columbia,3805461
2352,Oct-95,Yukon,30875
2353,Oct-95,Northwest Territories,41470
2354,Oct-95,Nunavut,25120
2355,Jan-96,Canada,29446857
2356,Jan-96,Newfoundland and Labrador,563679
2357,Jan-96,Prince Edward Island,135119
2358,Jan-96,Nova Scotia,929782
2359,Jan-96,New Brunswick,751581
2360,Jan-96,Quebec,7232952
2361,Jan-96,Ontario,11009307
2362,Jan-96,Manitoba,1130288
2363,Jan-96,Saskatchewan,1016198
2364,Jan-96,Alberta,2753463
2365,Jan-96,British Columbia,3826739
2366,Jan-96,Yukon,30963
2367,Jan-96,Northwest Territories,41495
2368,Jan-96,Nunavut,25291
2369,Apr-96,Canada,29514217
2370,Apr-96,Newfoundland and Labrador,561646
2371,Apr-96,Prince Edward Island,135311
2372,Apr-96,Nova Scotia,929921
2373,Apr-96,New Brunswick,751872
2374,Apr-96,Quebec,7237307
2375,Apr-96,Ontario,11037392
2376,Apr-96,Manitoba,1132025
2377,Apr-96,Saskatchewan,1017872
2378,Apr-96,Alberta,2762903
2379,Apr-96,British Columbia,3849847
2380,Apr-96,Yukon,31142
2381,Apr-96,Northwest Territories,41516
2382,Apr-96,Nunavut,25463
2383,Jul-96,Canada,29610218
2384,Jul-96,Newfoundland and Labrador,559698
2385,Jul-96,Prince Edward Island,135737
2386,Jul-96,Nova Scotia,931327
2387,Jul-96,New Brunswick,752268
2388,Jul-96,Quebec,7246897
2389,Jul-96,Ontario,11082903
2390,Jul-96,Manitoba,1134196
2391,Jul-96,Saskatchewan,1018945
2392,Jul-96,Alberta,2775133
2393,Jul-96,British Columbia,3874317
2394,Jul-96,Yukon,31387
2395,Jul-96,Northwest Territories,41741
2396,Jul-96,Nunavut,25669
2397,Oct-96,Canada,29708206
2398,Oct-96,Newfoundland and Labrador,557281
2399,Oct-96,Prince Edward Island,136004
2400,Oct-96,Nova Scotia,932276
2401,Oct-96,New Brunswick,752526
2402,Oct-96,Quebec,7257616
2403,Oct-96,Ontario,11130574
2404,Oct-96,Manitoba,1134619
2405,Oct-96,Saskatchewan,1019408
2406,Oct-96,Alberta,2789691
2407,Oct-96,British Columbia,3899256
2408,Oct-96,Yukon,31596
2409,Oct-96,Northwest Territories,41611
2410,Oct-96,Nunavut,25748
2411,Jan-97,Canada,29751536
2412,Jan-97,Newfoundland and Labrador,555432
2413,Jan-97,Prince Edward Island,135935
2414,Jan-97,Nova Scotia,932349
2415,Jan-97,New Brunswick,752334
2416,Jan-97,Quebec,7262945
2417,Jan-97,Ontario,11146270
2418,Jan-97,Manitoba,1134997
2419,Jan-97,Saskatchewan,1018326
2420,Jan-97,Alberta,2799561
2421,Jan-97,British Columbia,3914490
2422,Jan-97,Yukon,31633
2423,Jan-97,Northwest Territories,41528
2424,Jan-97,Nunavut,25736
2425,Apr-97,Canada,29818012
2426,Apr-97,Newfoundland and Labrador,553115
2427,Apr-97,Prince Edward Island,135931
2428,Apr-97,Nova Scotia,931832
2429,Apr-97,New Brunswick,752447
2430,Apr-97,Quebec,7267820
2431,Apr-97,Ontario,11179959
2432,Apr-97,Manitoba,1135846
2433,Apr-97,Saskatchewan,1017683
2434,Apr-97,Alberta,2813157
2435,Apr-97,British Columbia,3931056
2436,Apr-97,Yukon,31659
2437,Apr-97,Northwest Territories,41668
2438,Apr-97,Nunavut,25839
2439,Jul-97,Canada,29905948
2440,Jul-97,Newfoundland and Labrador,550911
2441,Jul-97,Prince Edward Island,136095
2442,Jul-97,Nova Scotia,932402
2443,Jul-97,New Brunswick,752511
2444,Jul-97,Quebec,7274611
2445,Jul-97,Ontario,11227651
2446,Jul-97,Manitoba,1136128
2447,Jul-97,Saskatchewan,1017902
2448,Jul-97,Alberta,2829848
2449,Jul-97,British Columbia,3948583
2450,Jul-97,Yukon,31797
2451,Jul-97,Northwest Territories,41625
2452,Jul-97,Nunavut,25884
2453,Oct-97,Canada,29994790
2454,Oct-97,Newfoundland and Labrador,547639
2455,Oct-97,Prince Edward Island,136165
2456,Oct-97,Nova Scotia,932735
2457,Oct-97,New Brunswick,752248
2458,Oct-97,Quebec,7282871
2459,Oct-97,Ontario,11278893
2460,Oct-97,Manitoba,1135649
2461,Oct-97,Saskatchewan,1017426
2462,Oct-97,Alberta,2847526
2463,Oct-97,British Columbia,3964677
2464,Oct-97,Yukon,31556
2465,Oct-97,Northwest Territories,41411
2466,Oct-97,Nunavut,25994
2467,Jan-98,Canada,30028506
2468,Jan-98,Newfoundland and Labrador,545769
2469,Jan-98,Prince Edward Island,135938
2470,Jan-98,Nova Scotia,932549
2471,Jan-98,New Brunswick,751969
2472,Jan-98,Quebec,7286008
2473,Jan-98,Ontario,11292059
2474,Jan-98,Manitoba,1135770
2475,Jan-98,Saskatchewan,1017504
2476,Jan-98,Alberta,2859305
2477,Jan-98,British Columbia,3972821
2478,Jan-98,Yukon,31510
2479,Jan-98,Northwest Territories,41222
2480,Jan-98,Nunavut,26082
2481,Apr-98,Canada,30080180
2482,Apr-98,Newfoundland and Labrador,542479
2483,Apr-98,Prince Edward Island,135635
2484,Apr-98,Nova Scotia,932033
2485,Apr-98,New Brunswick,751080
2486,Apr-98,Quebec,7290497
2487,Apr-98,Ontario,11322038
2488,Apr-98,Manitoba,1136177
2489,Apr-98,Saskatchewan,1017105
2490,Apr-98,Alberta,2876753
2491,Apr-98,British Columbia,3977912
2492,Apr-98,Yukon,31320
2493,Apr-98,Northwest Territories,40968
2494,Apr-98,Nunavut,26183
2495,Jul-98,Canada,30155173
2496,Jul-98,Newfoundland and Labrador,539843
2497,Jul-98,Prince Edward Island,135804
2498,Jul-98,Nova Scotia,931836
2499,Jul-98,New Brunswick,750530
2500,Jul-98,Quebec,7295935
2501,Jul-98,Ontario,11365901
2502,Jul-98,Manitoba,1137489
2503,Jul-98,Saskatchewan,1017332
2504,Jul-98,Alberta,2899066
2505,Jul-98,British Columbia,3983113
2506,Jul-98,Yukon,31149
2507,Jul-98,Northwest Territories,40802
2508,Jul-98,Nunavut,26373
2509,Oct-98,Canada,30231639
2510,Oct-98,Newfoundland and Labrador,537908
2511,Oct-98,Prince Edward Island,135908
2512,Oct-98,Nova Scotia,932740
2513,Oct-98,New Brunswick,750708
2514,Oct-98,Quebec,7305302
2515,Oct-98,Ontario,11408804
2516,Oct-98,Manitoba,1138328
2517,Oct-98,Saskatchewan,1017748
2518,Oct-98,Alberta,2915781
2519,Oct-98,British Columbia,3990451
2520,Oct-98,Yukon,30877
2521,Oct-98,Northwest Territories,40635
2522,Oct-98,Nunavut,26449
2523,Jan-99,Canada,30260117
2524,Jan-99,Newfoundland and Labrador,536515
2525,Jan-99,Prince Edward Island,135994
2526,Jan-99,Nova Scotia,932145
2527,Jan-99,New Brunswick,750127
2528,Jan-99,Quebec,7310238
2529,Jan-99,Ontario,11419589
2530,Jan-99,Manitoba,1138946
2531,Jan-99,Saskatchewan,1016883
2532,Jan-99,Alberta,2926079
2533,Jan-99,British Columbia,3995643
2534,Jan-99,Yukon,30748
2535,Jan-99,Northwest Territories,40635
2536,Jan-99,Nunavut,26575
2537,Apr-99,Canada,30314696
2538,Apr-99,Newfoundland and Labrador,534498
2539,Apr-99,Prince Edward Island,136025
2540,Apr-99,Nova Scotia,932116
2541,Apr-99,New Brunswick,750075
2542,Apr-99,Quebec,7315053
2543,Apr-99,Ontario,11452857
2544,Apr-99,Manitoba,1140502
2545,Apr-99,Saskatchewan,1015716
2546,Apr-99,Alberta,2937393
2547,Apr-99,British Columbia,4002433
2548,Apr-99,Yukon,30602
2549,Apr-99,Northwest Territories,40705
2550,Apr-99,Nunavut,26721
2551,Jul-99,Canada,30401286
2552,Jul-99,Newfoundland and Labrador,533329
2553,Jul-99,Prince Edward Island,136281
2554,Jul-99,Nova Scotia,933784
2555,Jul-99,New Brunswick,750601
2556,Jul-99,Quebec,7323250
2557,Jul-99,Ontario,11504759
2558,Jul-99,Manitoba,1142448
2559,Jul-99,Saskatchewan,1014524
2560,Jul-99,Alberta,2952692
2561,Jul-99,British Columbia,4011375
2562,Jul-99,Yukon,30785
2563,Jul-99,Northwest Territories,40638
2564,Jul-99,Nunavut,26820
2565,Oct-99,Canada,30492106
2566,Oct-99,Newfoundland and Labrador,532246
2567,Oct-99,Prince Edward Island,136424
2568,Oct-99,Nova Scotia,935941
2569,Oct-99,New Brunswick,750643
2570,Oct-99,Quebec,7334722
2571,Oct-99,Ontario,11559464
2572,Oct-99,Manitoba,1143618
2573,Oct-99,Saskatchewan,1012582
2574,Oct-99,Alberta,2966682
2575,Oct-99,British Columbia,4021600
2576,Oct-99,Yukon,30608
2577,Oct-99,Northwest Territories,40579
2578,Oct-99,Nunavut,26997
2579,Jan-00,Canada,30525872
2580,Jan-00,Newfoundland and Labrador,531774
2581,Jan-00,Prince Edward Island,136442
2582,Jan-00,Nova Scotia,934594
2583,Jan-00,New Brunswick,750786
2584,Jan-00,Quebec,7340269
2585,Jan-00,Ontario,11576994
2586,Jan-00,Manitoba,1144428
2587,Jan-00,Saskatchewan,1011141
2588,Jan-00,Alberta,2974517
2589,Jan-00,British Columbia,4026664
2590,Jan-00,Yukon,30495
2591,Jan-00,Northwest Territories,40623
2592,Jan-00,Nunavut,27145
2593,Apr-00,Canada,30594030
2594,Apr-00,Newfoundland and Labrador,529574
2595,Apr-00,Prince Edward Island,136289
2596,Apr-00,Nova Scotia,934291
2597,Apr-00,New Brunswick,750543
2598,Apr-00,Quebec,7347179
2599,Apr-00,Ontario,11621255
2600,Apr-00,Manitoba,1145873
2601,Apr-00,Saskatchewan,1009177
2602,Apr-00,Alberta,2988465
2603,Apr-00,British Columbia,4033319
2604,Apr-00,Yukon,30382
2605,Apr-00,Northwest Territories,40455
2606,Apr-00,Nunavut,27228
2607,Jul-00,Canada,30685730
2608,Jul-00,Newfoundland and Labrador,527966
2609,Jul-00,Prince Edward Island,136470
2610,Jul-00,Nova Scotia,933821
2611,Jul-00,New Brunswick,750517
2612,Jul-00,Quebec,7356951
2613,Jul-00,Ontario,11683290
2614,Jul-00,Manitoba,1147313
2615,Jul-00,Saskatchewan,1007565
2616,Jul-00,Alberta,3004198
2617,Jul-00,British Columbia,4039230
2618,Jul-00,Yukon,30431
2619,Jul-00,Northwest Territories,40480
2620,Jul-00,Nunavut,27498
2621,Oct-00,Canada,30783969
2622,Oct-00,Newfoundland and Labrador,526732
2623,Oct-00,Prince Edward Island,136400
2624,Oct-00,Nova Scotia,934459
2625,Oct-00,New Brunswick,750252
2626,Oct-00,Quebec,7368772
2627,Oct-00,Ontario,11748348
2628,Oct-00,Manitoba,1148183
2629,Oct-00,Saskatchewan,1006027
2630,Oct-00,Alberta,3016947
2631,Oct-00,British Columbia,4049297
2632,Oct-00,Yukon,30294
2633,Oct-00,Northwest Territories,40575
2634,Oct-00,Nunavut,27683
2635,Jan-01,Canada,30824441
2636,Jan-01,Newfoundland and Labrador,525299
2637,Jan-01,Prince Edward Island,136377
2638,Jan-01,Nova Scotia,933463
2639,Jan-01,New Brunswick,749715
2640,Jan-01,Quebec,7373978
2641,Jan-01,Ontario,11771945
2642,Jan-01,Manitoba,1148456
2643,Jan-01,Saskatchewan,1003469
2644,Jan-01,Alberta,3027941
2645,Jan-01,British Columbia,4055229
2646,Jan-01,Yukon,30147
2647,Jan-01,Northwest Territories,40624
2648,Jan-01,Nunavut,27798
2649,Apr-01,Canada,30910996
2650,Apr-01,Newfoundland and Labrador,523235
2651,Apr-01,Prince Edward Island,136499
2652,Apr-01,Nova Scotia,932909
2653,Apr-01,New Brunswick,749789
2654,Apr-01,Quebec,7383844
2655,Apr-01,Ontario,11827345
2656,Apr-01,Manitoba,1149684
2657,Apr-01,Saskatchewan,1001643
2658,Apr-01,Alberta,3041238
2659,Apr-01,British Columbia,4066132
2660,Apr-01,Yukon,30124
2661,Apr-01,Northwest Territories,40625
2662,Apr-01,Nunavut,27929
2663,Jul-01,Canada,31020902
2664,Jul-01,Newfoundland and Labrador,522046
2665,Jul-01,Prince Edward Island,136665
2666,Jul-01,Nova Scotia,932494
2667,Jul-01,New Brunswick,749820
2668,Jul-01,Quebec,7396456
2669,Jul-01,Ontario,11897534
2670,Jul-01,Manitoba,1151454
2671,Jul-01,Saskatchewan,1000239
2672,Jul-01,Alberta,3058108
2673,Jul-01,British Columbia,4076950
2674,Jul-01,Yukon,30158
2675,Jul-01,Northwest Territories,40845
2676,Jul-01,Nunavut,28133
2677,Oct-01,Canada,31129119
2678,Oct-01,Newfoundland and Labrador,521581
2679,Oct-01,Prince Edward Island,136876
2680,Oct-01,Nova Scotia,933336
2681,Oct-01,New Brunswick,749295
2682,Oct-01,Quebec,7411504
2683,Oct-01,Ontario,11961789
2684,Oct-01,Manitoba,1152150
2685,Oct-01,Saskatchewan,999175
2686,Oct-01,Alberta,3078336
2687,Oct-01,British Columbia,4085648
2688,Oct-01,Yukon,30076
2689,Oct-01,Northwest Territories,41173
2690,Oct-01,Nunavut,28180
2691,Jan-02,Canada,31169393
2692,Jan-02,Newfoundland and Labrador,521399
2693,Jan-02,Prince Edward Island,136858
2694,Jan-02,Nova Scotia,933773
2695,Jan-02,New Brunswick,748637
2696,Jan-02,Quebec,7417882
2697,Jan-02,Ontario,11980361
2698,Jan-02,Manitoba,1152837
2699,Jan-02,Saskatchewan,998681
2700,Jan-02,Alberta,3092107
2701,Jan-02,British Columbia,4087191
2702,Jan-02,Yukon,30153
2703,Jan-02,Northwest Territories,41176
2704,Jan-02,Nunavut,28338
2705,Apr-02,Canada,31253382
2706,Apr-02,Newfoundland and Labrador,520228
2707,Apr-02,Prince Edward Island,136892
2708,Apr-02,Nova Scotia,934177
2709,Apr-02,New Brunswick,748777
2710,Apr-02,Quebec,7428016
2711,Apr-02,Ontario,12030408
2712,Apr-02,Manitoba,1154737
2713,Apr-02,Saskatchewan,997740
2714,Apr-02,Alberta,3108360
2715,Apr-02,British Columbia,4094236
2716,Apr-02,Yukon,30142
2717,Apr-02,Northwest Territories,41280
2718,Apr-02,Nunavut,28389
2719,Jul-02,Canada,31360079
2720,Jul-02,Newfoundland and Labrador,519481
2721,Jul-02,Prince Edward Island,136880
2722,Jul-02,Nova Scotia,935179
2723,Jul-02,New Brunswick,749372
2724,Jul-02,Quebec,7441656
2725,Jul-02,Ontario,12094174
2726,Jul-02,Manitoba,1156680
2727,Jul-02,Saskatchewan,996807
2728,Jul-02,Alberta,3128429
2729,Jul-02,British Columbia,4100564
2730,Jul-02,Yukon,30336
2731,Jul-02,Northwest Territories,41699
2732,Jul-02,Nunavut,28822
2733,Oct-02,Canada,31451764
2734,Oct-02,Newfoundland and Labrador,519458
2735,Oct-02,Prince Edward Island,137078
2736,Oct-02,Nova Scotia,935968
2737,Oct-02,New Brunswick,749408
2738,Oct-02,Quebec,7455892
2739,Oct-02,Ontario,12146053
2740,Oct-02,Manitoba,1157298
2741,Oct-02,Saskatchewan,996279
2742,Oct-02,Alberta,3144926
2743,Oct-02,British Columbia,4108400
2744,Oct-02,Yukon,30266
2745,Oct-02,Northwest Territories,41874
2746,Oct-02,Nunavut,28864
2747,Jan-03,Canada,31480672
2748,Jan-03,Newfoundland and Labrador,519223
2749,Jan-03,Prince Edward Island,137077
2750,Jan-03,Nova Scotia,935509
2751,Jan-03,New Brunswick,749238
2752,Jan-03,Quebec,7461516
2753,Jan-03,Ontario,12156750
2754,Jan-03,Manitoba,1158369
2755,Jan-03,Saskatchewan,996241
2756,Jan-03,Alberta,3155103
2757,Jan-03,British Columbia,4110242
2758,Jan-03,Yukon,30422
2759,Jan-03,Northwest Territories,42006
2760,Jan-03,Nunavut,28976
2761,Apr-03,Canada,31550768
2762,Apr-03,Newfoundland and Labrador,518813
2763,Apr-03,Prince Edward Island,137120
2764,Apr-03,Nova Scotia,935800
2765,Apr-03,New Brunswick,749265
2766,Apr-03,Quebec,7471775
2767,Apr-03,Ontario,12195501
2768,Apr-03,Manitoba,1160863
2769,Apr-03,Saskatchewan,995748
2770,Apr-03,Alberta,3169049
2771,Apr-03,British Columbia,4114925
2772,Apr-03,Yukon,30573
2773,Apr-03,Northwest Territories,42219
2774,Apr-03,Nunavut,29117
2775,Jul-03,Canada,31644028
2776,Jul-03,Newfoundland and Labrador,518459
2777,Jul-03,Prince Edward Island,137227
2778,Jul-03,Nova Scotia,937717
2779,Jul-03,New Brunswick,749441
2780,Jul-03,Quebec,7485753
2781,Jul-03,Ontario,12245039
2782,Jul-03,Manitoba,1163596
2783,Jul-03,Saskatchewan,996386
2784,Jul-03,Alberta,3183065
2785,Jul-03,British Columbia,4124482
2786,Jul-03,Yukon,30941
2787,Jul-03,Northwest Territories,42600
2788,Jul-03,Nunavut,29322
2789,Oct-03,Canada,31737869
2790,Oct-03,Newfoundland and Labrador,518786
2791,Oct-03,Prince Edward Island,137425
2792,Oct-03,Nova Scotia,938790
2793,Oct-03,New Brunswick,749463
2794,Oct-03,Quebec,7503709
2795,Oct-03,Ontario,12291669
2796,Oct-03,Manitoba,1165530
2797,Oct-03,Saskatchewan,996555
2798,Oct-03,Alberta,3197858
2799,Oct-03,British Columbia,4134638
2800,Oct-03,Yukon,31218
2801,Oct-03,Northwest Territories,42857
2802,Oct-03,Nunavut,29371
2803,Jan-04,Canada,31777704
2804,Jan-04,Newfoundland and Labrador,518739
2805,Jan-04,Prince Edward Island,137510
2806,Jan-04,Nova Scotia,938997
2807,Jan-04,New Brunswick,749190
2808,Jan-04,Quebec,7510408
2809,Jan-04,Ontario,12305320
2810,Jan-04,Manitoba,1167656
2811,Jan-04,Saskatchewan,996558
2812,Jan-04,Alberta,3209372
2813,Jan-04,British Columbia,4139946
2814,Jan-04,Yukon,31319
2815,Jan-04,Northwest Territories,43171
2816,Jan-04,Nunavut,29518
2817,Apr-04,Canada,31846669
2818,Apr-04,Newfoundland and Labrador,517940
2819,Apr-04,Prince Edward Island,137629
2820,Apr-04,Nova Scotia,938783
2821,Apr-04,New Brunswick,749336
2822,Apr-04,Quebec,7520262
2823,Apr-04,Ontario,12341656
2824,Apr-04,Manitoba,1170347
2825,Apr-04,Saskatchewan,997080
2826,Apr-04,Alberta,3223490
2827,Apr-04,British Columbia,4145951
2828,Apr-04,Yukon,31401
2829,Apr-04,Northwest Territories,43210
2830,Apr-04,Nunavut,29584
2831,Jul-04,Canada,31940655
2832,Jul-04,Newfoundland and Labrador,517423
2833,Jul-04,Prince Edward Island,137680
2834,Jul-04,Nova Scotia,939664
2835,Jul-04,New Brunswick,749419
2836,Jul-04,Quebec,7535590
2837,Jul-04,Ontario,12391421
2838,Jul-04,Manitoba,1173238
2839,Jul-04,Saskatchewan,997283
2840,Jul-04,Alberta,3238668
2841,Jul-04,British Columbia,4155651
2842,Jul-04,Yukon,31455
2843,Jul-04,Northwest Territories,43306
2844,Jul-04,Nunavut,29857
2845,Oct-04,Canada,32039959
2846,Oct-04,Newfoundland and Labrador,516906
2847,Oct-04,Prince Edward Island,137695
2848,Oct-04,Nova Scotia,939884
2849,Oct-04,New Brunswick,749243
2850,Oct-04,Quebec,7553651
2851,Oct-04,Ontario,12437664
2852,Oct-04,Manitoba,1174675
2853,Oct-04,Saskatchewan,996993
2854,Oct-04,Alberta,3260590
2855,Oct-04,British Columbia,4167810
2856,Oct-04,Yukon,31689
2857,Oct-04,Northwest Territories,43352
2858,Oct-04,Nunavut,29807
2859,Jan-05,Canada,32076720
2860,Jan-05,Newfoundland and Labrador,516794
2861,Jan-05,Prince Edward Island,137689
2862,Jan-05,Nova Scotia,939215
2863,Jan-05,New Brunswick,749002
2864,Jan-05,Quebec,7559625
2865,Jan-05,Ontario,12446466
2866,Jan-05,Manitoba,1176051
2867,Jan-05,Saskatchewan,995900
2868,Jan-05,Alberta,3276797
2869,Jan-05,British Columbia,4174018
2870,Jan-05,Yukon,31771
2871,Jan-05,Northwest Territories,43442
2872,Jan-05,Nunavut,29950
2873,Apr-05,Canada,32141943
2874,Apr-05,Newfoundland and Labrador,515358
2875,Apr-05,Prince Edward Island,137788
2876,Apr-05,Nova Scotia,937991
2877,Apr-05,New Brunswick,748693
2878,Apr-05,Quebec,7567307
2879,Apr-05,Ontario,12477967
2880,Apr-05,Manitoba,1177285
2881,Apr-05,Saskatchewan,994892
2882,Apr-05,Alberta,3296271
2883,Apr-05,British Columbia,4182963
2884,Apr-05,Yukon,31862
2885,Apr-05,Northwest Territories,43457
2886,Apr-05,Nunavut,30109
2887,Jul-05,Canada,32243753
2888,Jul-05,Newfoundland and Labrador,514332
2889,Jul-05,Prince Edward Island,138064
2890,Jul-05,Nova Scotia,937926
2891,Jul-05,New Brunswick,748057
2892,Jul-05,Quebec,7581476
2893,Jul-05,Ontario,12528663
2894,Jul-05,Manitoba,1178264
2895,Jul-05,Saskatchewan,993500
2896,Jul-05,Alberta,3321768
2897,Jul-05,British Columbia,4196062
2898,Jul-05,Yukon,31902
2899,Jul-05,Northwest Territories,43400
2900,Jul-05,Nunavut,30339
2901,Oct-05,Canada,32353968
2902,Oct-05,Newfoundland and Labrador,513740
2903,Oct-05,Prince Edward Island,138130
2904,Oct-05,Nova Scotia,938753
2905,Oct-05,New Brunswick,747672
2906,Oct-05,Quebec,7598887
2907,Oct-05,Ontario,12578931
2908,Oct-05,Manitoba,1179086
2909,Oct-05,Saskatchewan,993288
2910,Oct-05,Alberta,3346754
2911,Oct-05,British Columbia,4212666
2912,Oct-05,Yukon,32128
2913,Oct-05,Northwest Territories,43526
2914,Oct-05,Nunavut,30407
2915,Jan-06,Canada,32395309
2916,Jan-06,Newfoundland and Labrador,512564
2917,Jan-06,Prince Edward Island,137907
2918,Jan-06,Nova Scotia,938117
2919,Jan-06,New Brunswick,746983
2920,Jan-06,Quebec,7604258
2921,Jan-06,Ontario,12587531
2922,Jan-06,Manitoba,1179920
2923,Jan-06,Saskatchewan,992237
2924,Jan-06,Alberta,3371823
2925,Jan-06,British Columbia,4217962
2926,Jan-06,Yukon,32112
2927,Jan-06,Northwest Territories,43318
2928,Jan-06,Nunavut,30577
2929,Apr-06,Canada,32470303
2930,Apr-06,Newfoundland and Labrador,510961
2931,Apr-06,Prince Edward Island,137846
2932,Apr-06,Nova Scotia,937664
2933,Apr-06,New Brunswick,746337
2934,Apr-06,Quebec,7615505
2935,Apr-06,Ontario,12618444
2936,Apr-06,Manitoba,1181635
2937,Apr-06,Saskatchewan,991228
2938,Apr-06,Alberta,3396802
2939,Apr-06,British Columbia,4227986
2940,Apr-06,Yukon,32152
2941,Apr-06,Northwest Territories,43101
2942,Apr-06,Nunavut,30642
2943,Jul-06,Canada,32571174
2944,Jul-06,Newfoundland and Labrador,510592
2945,Jul-06,Prince Edward Island,137867
2946,Jul-06,Nova Scotia,937882
2947,Jul-06,New Brunswick,745621
2948,Jul-06,Quebec,7631966
2949,Jul-06,Ontario,12661878
2950,Jul-06,Manitoba,1183562
2951,Jul-06,Saskatchewan,992314
2952,Jul-06,Alberta,3421434
2953,Jul-06,British Columbia,4241794
2954,Jul-06,Yukon,32272
2955,Jul-06,Northwest Territories,43179
2956,Jul-06,Nunavut,30813
2957,Oct-06,Canada,32680712
2958,Oct-06,Newfoundland and Labrador,510329
2959,Oct-06,Prince Edward Island,137898
2960,Oct-06,Nova Scotia,937046
2961,Oct-06,New Brunswick,744975
2962,Oct-06,Quebec,7653092
2963,Oct-06,Ontario,12700994
2964,Oct-06,Manitoba,1183981
2965,Oct-06,Saskatchewan,993361
2966,Oct-06,Alberta,3453944
2967,Oct-06,British Columbia,4258655
2968,Oct-06,Yukon,32361
2969,Oct-06,Northwest Territories,43197
2970,Oct-06,Nunavut,30879
2971,Jan-07,Canada,32717701
2972,Jan-07,Newfoundland and Labrador,510335
2973,Jan-07,Prince Edward Island,137778
2974,Jan-07,Nova Scotia,936203
2975,Jan-07,New Brunswick,744853
2976,Jan-07,Quebec,7661583
2977,Jan-07,Ontario,12702838
2978,Jan-07,Manitoba,1184503
2979,Jan-07,Saskatchewan,995174
2980,Jan-07,Alberta,3472771
2981,Jan-07,British Columbia,4265321
2982,Jan-07,Yukon,32315
2983,Jan-07,Northwest Territories,43074
2984,Jan-07,Nunavut,30953
2985,Apr-07,Canada,32786014
2986,Apr-07,Newfoundland and Labrador,509131
2987,Apr-07,Prince Edward Island,137708
2988,Apr-07,Nova Scotia,934995
2989,Apr-07,New Brunswick,744938
2990,Apr-07,Quebec,7674385
2991,Apr-07,Ontario,12726728
