,REF_DATE,GEO,Population estimate
1697,Jul-83,Yukon,23664
1698,Jul-83,Northwest Territories including Nunavut,50760
1699,Oct-83,Canada,25434150
1700,Oct-83,Newfoundland and Labrador,579603
1701,Oct-83,Prince Edward Island,125634
1702,Oct-83,Nova Scotia,872143
1703,Oct-83,New Brunswick,716531
1704,Oct-83,Quebec,6608417
1705,Oct-83,Ontario,9074145
1706,Oct-83,Manitoba,1063952
1707,Oct-83,Saskatchewan,1005175
1708,Oct-83,Alberta,2394239
1709,Oct-83,British Columbia,2919166
1710,Oct-83,Yukon,23760
1711,Oct-83,Northwest Territories including Nunavut,51385
1712,Jan-84,Canada,25482358
1713,Jan-84,Newfoundland and Labrador,579558
1714,Jan-84,Prince Edward Island,125906
1715,Jan-84,Nova Scotia,874076
1716,Jan-84,New Brunswick,717434
1717,Jan-84,Quebec,6613628
1718,Jan-84,Ontario,9100590
1719,Jan-84,Manitoba,1066222
1720,Jan-84,Saskatchewan,1007484
1721,Jan-84,Alberta,2394892
1722,Jan-84,British Columbia,2927258
1723,Jan-84,Yukon,23544
1724,Jan-84,Northwest Territories including Nunavut,51766
1725,Apr-84,Canada,25539861
1726,Apr-84,Newfoundland and Labrador,579810
1727,Apr-84,Prince Edward Island,126184
1728,Apr-84,Nova Scotia,875922
1729,Apr-84,New Brunswick,718627
1730,Apr-84,Quebec,6621748
1731,Apr-84,Ontario,9129833
1732,Apr-84,Manitoba,1069201
1733,Apr-84,Saskatchewan,1010840
1734,Apr-84,Alberta,2396706
1735,Apr-84,British Columbia,2935384
1736,Apr-84,Yukon,23603
1737,Apr-84,Northwest Territories including Nunavut,52003
1738,Jul-84,Canada,25607053
1739,Jul-84,Newfoundland and Labrador,580065
1740,Jul-84,Prince Edward Island,126563
1741,Jul-84,Nova Scotia,877471
1742,Jul-84,New Brunswick,720488
1743,Jul-84,Quebec,6631220
1744,Jul-84,Ontario,9167484
1745,Jul-84,Manitoba,1071810
1746,Jul-84,Saskatchewan,1014615
1747,Jul-84,Alberta,2393907
1748,Jul-84,British Columbia,2947181
1749,Jul-84,Yukon,23921
1750,Jul-84,Northwest Territories including Nunavut,52328
1751,Oct-84,Canada,25677668
1752,Oct-84,Newfoundland and Labrador,579356
1753,Oct-84,Prince Edward Island,126877
1754,Oct-84,Nova Scotia,881323
1755,Oct-84,New Brunswick,721509
1756,Oct-84,Quebec,6640276
1757,Oct-84,Ontario,9210346
1758,Oct-84,Manitoba,1075088
1759,Oct-84,Saskatchewan,1018785
1760,Oct-84,Alberta,2390913
1761,Oct-84,British Columbia,2956332
1762,Oct-84,Yukon,24168
1763,Oct-84,Northwest Territories including Nunavut,52695
1764,Jan-85,Canada,25721170
1765,Jan-85,Newfoundland and Labrador,579043
1766,Jan-85,Prince Edward Island,127330
1767,Jan-85,Nova Scotia,883012
1768,Jan-85,New Brunswick,721932
1769,Jan-85,Quebec,6645778
1770,Jan-85,Ontario,9230294
1771,Jan-85,Manitoba,1078327
1772,Jan-85,Saskatchewan,1020040
1773,Jan-85,Alberta,2395813
1774,Jan-85,British Columbia,2962108
1775,Jan-85,Yukon,24156
1776,Jan-85,Northwest Territories including Nunavut,53337
1777,Apr-85,Canada,25774717
1778,Apr-85,Newfoundland and Labrador,579320
1779,Apr-85,Prince Edward Island,127486
1780,Apr-85,Nova Scotia,884525
1781,Apr-85,New Brunswick,722406
1782,Apr-85,Quebec,6654729
1783,Apr-85,Ontario,9256175
1784,Apr-85,Manitoba,1081013
1785,Apr-85,Saskatchewan,1021914
1786,Apr-85,Alberta,2401499
1787,Apr-85,British Columbia,2967584
1788,Apr-85,Yukon,24245
1789,Apr-85,Northwest Territories including Nunavut,53821
1790,Jul-85,Canada,25842116
1791,Jul-85,Newfoundland and Labrador,579275
1792,Jul-85,Prince Edward Island,127619
1793,Jul-85,Nova Scotia,885848
1794,Jul-85,New Brunswick,723287
1795,Jul-85,Quebec,6665802
1796,Jul-85,Ontario,9294657
1797,Jul-85,Manitoba,1082495
1798,Jul-85,Saskatchewan,1024928
1799,Jul-85,Alberta,2404490
1800,Jul-85,British Columbia,2975131
1801,Jul-85,Yukon,24375
1802,Jul-85,Northwest Territories including Nunavut,54209
1803,Oct-85,Canada,25914797
1804,Oct-85,Newfoundland and Labrador,577784
1805,Oct-85,Prince Edward Island,127864
1806,Oct-85,Nova Scotia,887408
1807,Oct-85,New Brunswick,723955
1808,Oct-85,Quebec,6676959
1809,Oct-85,Ontario,9338435
1810,Oct-85,Manitoba,1085016
1811,Oct-85,Saskatchewan,1027418
1812,Oct-85,Alberta,2407001
1813,Oct-85,British Columbia,2984237
1814,Oct-85,Yukon,24458
1815,Oct-85,Northwest Territories including Nunavut,54262
1816,Jan-86,Canada,25962414
1817,Jan-86,Newfoundland and Labrador,577248
1818,Jan-86,Prince Edward Island,128256
1819,Jan-86,Nova Scotia,887435
1820,Jan-86,New Brunswick,724277
1821,Jan-86,Quebec,6684699
1822,Jan-86,Ontario,9362036
1823,Jan-86,Manitoba,1087851
1824,Jan-86,Saskatchewan,1027137
1825,Jan-86,Alberta,2415590
1826,Jan-86,British Columbia,2988964
1827,Jan-86,Yukon,24359
1828,Jan-86,Northwest Territories including Nunavut,54562
1829,Apr-86,Canada,26019615
1830,Apr-86,Newfoundland and Labrador,577105
1831,Apr-86,Prince Edward Island,128403
1832,Apr-86,Nova Scotia,888157
1833,Apr-86,New Brunswick,724432
1834,Apr-86,Quebec,6693133
1835,Apr-86,Ontario,9391784
1836,Apr-86,Manitoba,1090433
1837,Apr-86,Saskatchewan,1027812
1838,Apr-86,Alberta,2424950
1839,Apr-86,British Columbia,2994267
1840,Apr-86,Yukon,24364
1841,Apr-86,Northwest Territories including Nunavut,54775
1842,Jul-86,Canada,26100278
1843,Jul-86,Newfoundland and Labrador,576306
1844,Jul-86,Prince Edward Island,128436
1845,Jul-86,Nova Scotia,889087
1846,Jul-86,New Brunswick,725019
1847,Jul-86,Quebec,6708170
1848,Jul-86,Ontario,9437359
1849,Jul-86,Manitoba,1091552
1850,Jul-86,Saskatchewan,1028717
1851,Jul-86,Alberta,2432930
1852,Jul-86,British Columbia,3003621
1853,Jul-86,Yukon,24430
1854,Jul-86,Northwest Territories including Nunavut,54651
1855,Oct-86,Canada,26187639
1856,Oct-86,Newfoundland and Labrador,575396
1857,Oct-86,Prince Edward Island,128281
1858,Oct-86,Nova Scotia,891078
1859,Oct-86,New Brunswick,725304
1860,Oct-86,Quebec,6727250
1861,Oct-86,Ontario,9493289
1862,Oct-86,Manitoba,1092636
1863,Oct-86,Saskatchewan,1029554
1864,Oct-86,Alberta,2429949
1865,Oct-86,British Columbia,3015876
1866,Oct-86,Yukon,24782
1867,Oct-86,Northwest Territories including Nunavut,54244
1868,Jan-87,Canada,26256140
1869,Jan-87,Newfoundland and Labrador,575586
1870,Jan-87,Prince Edward Island,128429
1871,Jan-87,Nova Scotia,891424
1872,Jan-87,New Brunswick,725368
1873,Jan-87,Quebec,6745101
1874,Jan-87,Ontario,9531478
1875,Jan-87,Manitoba,1094659
1876,Jan-87,Saskatchewan,1029639
1877,Jan-87,Alberta,2432958
1878,Jan-87,British Columbia,3021900
1879,Jan-87,Yukon,25125
1880,Jan-87,Northwest Territories including Nunavut,54473
1881,Apr-87,Canada,26346370
1882,Apr-87,Newfoundland and Labrador,575802
1883,Apr-87,Prince Edward Island,128645
1884,Apr-87,Nova Scotia,891908
1885,Apr-87,New Brunswick,726566
1886,Apr-87,Quebec,6765059
1887,Apr-87,Ontario,9577947
1888,Apr-87,Manitoba,1097076
1889,Apr-87,Saskatchewan,1031336
1890,Apr-87,Alberta,2439074
1891,Apr-87,British Columbia,3032807
1892,Apr-87,Yukon,25386
1893,Apr-87,Northwest Territories including Nunavut,54764
1894,Jul-87,Canada,26446601
1895,Jul-87,Newfoundland and Labrador,575242
1896,Jul-87,Prince Edward Island,128641
1897,Jul-87,Nova Scotia,893606
1898,Jul-87,New Brunswick,727768
1899,Jul-87,Quebec,6781984
1900,Jul-87,Ontario,9637945
1901,Jul-87,Manitoba,1098373
1902,Jul-87,Saskatchewan,1032799
1903,Jul-87,Alberta,2440877
1904,Jul-87,British Columbia,3048651
1905,Jul-87,Yukon,25706
1906,Jul-87,Northwest Territories including Nunavut,55009
1907,Oct-87,Canada,26542370
1908,Oct-87,Newfoundland and Labrador,574094
1909,Oct-87,Prince Edward Island,128758
1910,Oct-87,Nova Scotia,894585
1911,Oct-87,New Brunswick,728100
1912,Oct-87,Quebec,6796640
1913,Oct-87,Ontario,9702789
1914,Oct-87,Manitoba,1098195
1915,Oct-87,Saskatchewan,1031995
1916,Oct-87,Alberta,2437537
1917,Oct-87,British Columbia,3068995
1918,Oct-87,Yukon,25808
1919,Oct-87,Northwest Territories including Nunavut,54874
1920,Jan-88,Canada,26602328
1921,Jan-88,Newfoundland and Labrador,574543
1922,Jan-88,Prince Edward Island,129152
1923,Jan-88,Nova Scotia,894600
1924,Jan-88,New Brunswick,728401
1925,Jan-88,Quebec,6805203
1926,Jan-88,Ontario,9735171
1927,Jan-88,Manitoba,1099782
1928,Jan-88,Saskatchewan,1029527
1929,Jan-88,Alberta,2443396
1930,Jan-88,British Columbia,3081368
1931,Jan-88,Yukon,25902
1932,Jan-88,Northwest Territories including Nunavut,55283
1933,Apr-88,Canada,26679165
1934,Apr-88,Newfoundland and Labrador,574912
1935,Apr-88,Prince Edward Island,129242
1936,Apr-88,Nova Scotia,895638
1937,Apr-88,New Brunswick,729079
1938,Apr-88,Quebec,6818248
1939,Apr-88,Ontario,9774964
1940,Apr-88,Manitoba,1101404
1941,Apr-88,Saskatchewan,1028590
1942,Apr-88,Alberta,2450646
1943,Apr-88,British Columbia,3094274
1944,Apr-88,Yukon,26335
1945,Apr-88,Northwest Territories including Nunavut,55833
1946,Jul-88,Canada,26791747
1947,Jul-88,Newfoundland and Labrador,574982
1948,Jul-88,Prince Edward Island,129289
1949,Jul-88,Nova Scotia,897216
1950,Jul-88,New Brunswick,730349
1951,Jul-88,Quebec,6837077
1952,Jul-88,Ontario,9838620
1953,Jul-88,Manitoba,1102152
1954,Jul-88,Saskatchewan,1028225
1955,Jul-88,Alberta,2456614
1956,Jul-88,British Columbia,3114761
1957,Jul-88,Yukon,26653
1958,Jul-88,Northwest Territories including Nunavut,55809
1959,Oct-88,Canada,26932655
1960,Oct-88,Newfoundland and Labrador,574645
1961,Oct-88,Prince Edward Island,129327
1962,Oct-88,Nova Scotia,899462
1963,Oct-88,New Brunswick,731671
1964,Oct-88,Quebec,6864044
1965,Oct-88,Ontario,9917210
1966,Oct-88,Manitoba,1101074
1967,Oct-88,Saskatchewan,1025453
1968,Oct-88,Alberta,2465242
1969,Oct-88,British Columbia,3141854
1970,Oct-88,Yukon,26582
1971,Oct-88,Northwest Territories including Nunavut,56091
1972,Jan-89,Canada,27032356
1973,Jan-89,Newfoundland and Labrador,575626
1974,Jan-89,Prince Edward Island,129984
1975,Jan-89,Nova Scotia,900270
1976,Jan-89,New Brunswick,732462
1977,Jan-89,Quebec,6882602
1978,Jan-89,Ontario,9969308
1979,Jan-89,Manitoba,1101544
1980,Jan-89,Saskatchewan,1021497
1981,Jan-89,Alberta,2477533
1982,Jan-89,British Columbia,3158092
1983,Jan-89,Yukon,26898
1984,Jan-89,Northwest Territories including Nunavut,56540
1985,Apr-89,Canada,27147776
1986,Apr-89,Newfoundland and Labrador,576458
1987,Apr-89,Prince Edward Island,130192
1988,Apr-89,Nova Scotia,901341
1989,Apr-89,New Brunswick,733872
1990,Apr-89,Quebec,6903228
1991,Apr-89,Ontario,10031922
1992,Apr-89,Manitoba,1102669
1993,Apr-89,Saskatchewan,1020302
1994,Apr-89,Alberta,2489032
1995,Apr-89,British Columbia,3174623
1996,Apr-89,Yukon,27053
1997,Apr-89,Northwest Territories including Nunavut,57084
1998,Jul-89,Canada,27276781
1999,Jul-89,Newfoundland and Labrador,576551
2000,Jul-89,Prince Edward Island,130153
